SCHOOL NAME,CODE,ENTRY,ENGLISH,KISWAHILI,K. S. L.,MATHS,SCIENCE,SSTR,MEAN,RANK,NATIONAL,DISTRICT_NAME,School code,county code,county name
AL-HIDAYA,812105,61.0,47.55,30.81,0.0,49.26,49.96,54.93,232.51,47,13762,MANDERA NORTH,,,
AL-HIDAYA MUSLIM,305113,40.0,48.72,55.57,0.0,43.75,52.47,58.2,258.71,30,7691,MARSABIT,16305113,16,MARSABIT
AL-HUDA,311110,79.0,49.25,41.32,0.0,47.39,49.65,55.56,243.17,47,11216,MOYALE,16311110,16,MARSABIT
AL-IBRAHIM ACADEMY,801122,13.0,73.15,75.23,0.0,67.76,69.23,76.61,361.98,1,211,GARISSA,45801122,45,GARISSA
AL-KHULAFAU RASHIDIN,311113,47.0,65.72,50.8,0.0,49.61,53.74,61.8,281.67,12,4021,MOYALE,16311113,16,MARSABIT
AL-MOHAJIROON CENTRE,401508,66.0,66.51,60.19,0.0,45.63,66.75,73.63,312.71,153,1753,Nairobi,20402026,20,NAIROBI
AL-MUUMINUM,702137,13.0,62.69,56.84,0.0,52.38,64.53,65.07,301.51,72,2377,KISUMU MUNICIPALITY,39702137,39,KISUMU
AL-QALAM ACADEMY,803108,27.0,65.18,54.11,0.0,62.77,61.14,66.85,310.05,4,1881,MANDERA EAST,47803108,47,MANDERA
AL. UWEIS,811104,72.0,41.86,58.58,0.0,44.62,61.12,67.34,273.52,11,5085,MANDERA CENTRAL,47811104,47,MANDERA
ALALE,530201,28.0,50.21,43.82,0.0,50.14,55.67,56.5,256.34,88,8198,NORTH POKOT,24530201,24,WEST POKOT
ALANGO,702082,40.0,47.82,46.2,0.0,44.95,47.52,47.27,233.76,440,13476,KISUMU MUNICIPALITY,39702082,39,KISUMU
ALARA,702057,34.0,50.76,46.2,0.0,55.76,56.76,53.94,263.42,221,6737,KISUMU MUNICIPALITY,39702057,39,KISUMU
ALARA,702057,34.0,50.76,46.2,0.0,55.76,56.76,53.94,263.42,221,6737,KISUMU MUNICIPALITY,41704003,41,HOMA BAY
ALARA,702057,34.0,50.76,46.2,0.0,55.76,56.76,53.94,263.42,221,6737,KISUMU MUNICIPALITY,41724002,41,HOMA BAY
ALARA,702057,34.0,50.76,46.2,0.0,55.76,56.76,53.94,263.42,221,6737,KISUMU MUNICIPALITY,41731302,41,HOMA BAY
ALARA,702057,34.0,50.76,46.2,0.0,55.76,56.76,53.94,263.42,221,6737,KISUMU MUNICIPALITY,42712219,42,SIAYA
ALARA,702057,34.0,50.76,46.2,0.0,55.76,56.76,53.94,263.42,221,6737,KISUMU MUNICIPALITY,44707121,44,MIGORI
ALARA,704003,19.0,56.78,44.63,0.0,64.1,58.47,55.05,279.03,122,4336,HOMA BAY,39702057,39,KISUMU
ALARA,704003,19.0,56.78,44.63,0.0,64.1,58.47,55.05,279.03,122,4336,HOMA BAY,41704003,41,HOMA BAY
ALARA,704003,19.0,56.78,44.63,0.0,64.1,58.47,55.05,279.03,122,4336,HOMA BAY,41724002,41,HOMA BAY
ALARA,704003,19.0,56.78,44.63,0.0,64.1,58.47,55.05,279.03,122,4336,HOMA BAY,41731302,41,HOMA BAY
ALARA,704003,19.0,56.78,44.63,0.0,64.1,58.47,55.05,279.03,122,4336,HOMA BAY,42712219,42,SIAYA
ALARA,704003,19.0,56.78,44.63,0.0,64.1,58.47,55.05,279.03,122,4336,HOMA BAY,44707121,44,MIGORI
ALARA,707121,28.0,48.67,52.5,0.0,45.0,49.89,50.6,246.66,265,10395,MIGORI,39702057,39,KISUMU
ALARA,707121,28.0,48.67,52.5,0.0,45.0,49.89,50.6,246.66,265,10395,MIGORI,41704003,41,HOMA BAY
ALARA,707121,28.0,48.67,52.5,0.0,45.0,49.89,50.6,246.66,265,10395,MIGORI,41724002,41,HOMA BAY
ALARA,707121,28.0,48.67,52.5,0.0,45.0,49.89,50.6,246.66,265,10395,MIGORI,41731302,41,HOMA BAY
ALARA,707121,28.0,48.67,52.5,0.0,45.0,49.89,50.6,246.66,265,10395,MIGORI,42712219,42,SIAYA
ALARA,707121,28.0,48.67,52.5,0.0,45.0,49.89,50.6,246.66,265,10395,MIGORI,44707121,44,MIGORI
ALARA,712219,24.0,47.95,28.29,0.0,48.29,46.33,44.58,215.44,561,17330,BONDO,39702057,39,KISUMU
ALARA,712219,24.0,47.95,28.29,0.0,48.29,46.33,44.58,215.44,561,17330,BONDO,41704003,41,HOMA BAY
ALARA,712219,24.0,47.95,28.29,0.0,48.29,46.33,44.58,215.44,561,17330,BONDO,41724002,41,HOMA BAY
ALARA,712219,24.0,47.95,28.29,0.0,48.29,46.33,44.58,215.44,561,17330,BONDO,41731302,41,HOMA BAY
ALARA,712219,24.0,47.95,28.29,0.0,48.29,46.33,44.58,215.44,561,17330,BONDO,42712219,42,SIAYA
ALARA,712219,24.0,47.95,28.29,0.0,48.29,46.33,44.58,215.44,561,17330,BONDO,44707121,44,MIGORI
ALARA,721253,28.0,41.75,33.35,0.0,50.53,40.25,41.57,207.45,588,18626,RARIEDA,39702057,39,KISUMU
ALARA,721253,28.0,41.75,33.35,0.0,50.53,40.25,41.57,207.45,588,18626,RARIEDA,41704003,41,HOMA BAY
ALARA,721253,28.0,41.75,33.35,0.0,50.53,40.25,41.57,207.45,588,18626,RARIEDA,41724002,41,HOMA BAY
ALARA,721253,28.0,41.75,33.35,0.0,50.53,40.25,41.57,207.45,588,18626,RARIEDA,41731302,41,HOMA BAY
ALARA,721253,28.0,41.75,33.35,0.0,50.53,40.25,41.57,207.45,588,18626,RARIEDA,42712219,42,SIAYA
ALARA,721253,28.0,41.75,33.35,0.0,50.53,40.25,41.57,207.45,588,18626,RARIEDA,44707121,44,MIGORI
ALARA,724002,37.0,53.37,44.16,0.0,67.1,63.37,56.64,284.64,98,3730,NDHIWA,39702057,39,KISUMU
ALARA,724002,37.0,53.37,44.16,0.0,67.1,63.37,56.64,284.64,98,3730,NDHIWA,41704003,41,HOMA BAY
ALARA,724002,37.0,53.37,44.16,0.0,67.1,63.37,56.64,284.64,98,3730,NDHIWA,41724002,41,HOMA BAY
